id,term, knowledge area
581,ARM V7,OSV
582,ARMED ATTACK,LR
583,ARMED CONFLICT,LR
584,ARMS RACE,AC;CPS;AB
585,ARMV8 M,OSV
586,ARP  ADDRESS RESOLUTION PROTOCOL ,NS
587,ARP SPOOFING,NS
588,ARPSCAN,NS
589,ARRAY BOUNDS CHECK,SS
590,ARREST OF NATURAL PERSONS IN STATE TERRITORY,LR
591,ARRIVAL RATE,NS
592,ARTICLE 24,LR
593,ARTIFACT ANALYSIS,FM;F
594,ARTIFACTS AND FRAGMENTS,F
595,ARTIFICIAL INTELLIGENCE AI,RMG;MAT;HS;LR;SO;SSL;F
596,AS LOW AS REASONABLY ALLOWABLE,RMG
597,AS LOW AS REASONABLY POSSIBLE,RMG
598,AS LOW AS REASONABLY PRACTICABLE,RMG
599,AS 400 OS,OSV
600,AS NZS 4360,RMG
601,ASBESTOS,OSV
602,ASCII,AC;SO
603,ASIA PACIFIC ECONOMIC COOPERATION CROSS BORDER PRIVACY RULES,LR
604,ASIA PACIFIC ECONOMIC COOPERATION PRIVACY FRAMEWORK,LR
605,ASIC,HS
606,ASLR,SS;OSV
607,ASLR  ADDRESS SPACE LAYOUT RANDOMIZATION ,OSV
608,ASP  APPLICATION SERVICE PROVIDER ,DSS
609,ASSAD REGIME,AB
610,ASSEMBLER,FM
611,ASSEMBLY CODE,MAT;SS;FM;SO
612,ASSEMBLY LINE,CPS
613,ASSEMBLY PROGRAM,HS;FM
614,ASSERTIONS,SS
615,ASSESS AND MITIGATE VULNERABILITIES IN EMBEDDED DEVICES,CPS
616,ASSESS AND MITIGATE VULNERABILITIES IN MOBILE SYSTEMS,WAM
617,ASSESS AND MITIGATE VULNERABILITIES IN WEB BASED SYSTEMS,WAM
618,ASSESS THE SECURE SOFTWARE LIFECYCLE,SSL
619,ASSESS THE SECURITY IMPACT OF ACQUIRED SOFTWARE,SSL
620,ASSESSING RISK,RMG
621,ASSESSING THE EVIDENCE,AAA
622,ASSESSMENT AND DECISION,RMG
623,ASSESSMENT AND MANAGEMENT APPROACHES,RMG
624,ASSESSMENT CRITERIA,HF
625,ASSESSMENT FOCUS,SO
626,ASSESSMENT STANDARDS,RMG
627,ASSESSMENT DRIVEN TRAINING,HF
628,ASSESSMENTS,SO
629,ASSESSMENTS  US NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY ,RMG
630,ASSET   BASED RISK,RMG
631,ASSET CLASSIFICATION,RMG
632,ASSET CLASSIFICATION LEVELS,RMG
633,ASSET FREEZE,LR
634,ASSET IDENTIFICATION   IN INFORMATION RISK MANAGEMENT PROGRAM,RMG
635,ASSET IDENTIFICATION   IN RISK ASSESSMENT,RMG
636,ASSET IDENTIFICATION   IN RISK MANAGEMENT PROCESS,RMG
637,ASSET INVENTORY,RMG
638,ASSET INVENTORY AND DOCUMENTATION,RMG
639,ASSET MANAGEMENT,INTRO;SO
640,ASSET MANAGEMENT LIFECYCLE,SO
641,ASSET OWNERSHIP,SO
642,ASSET SECURITY,SO
643,ASSET SECURITY CONCEPTS,RMG
644,ASSET SEIZURE,LR;F
645,ASSET SEIZURE AND FORFEITURE,LR
646,ASSET VALUATION,RMG
647,ASSET VALUATION   INTANGIBLE,RMG
648,ASSET VALUATION   TANGIBLE,RMG
649,ASSET BASED,RMG
650,ASSETS,RMG;SSL;AAA
651,ASSISTANCE,RMG
652,ASSOCIATION CONTROL SERVICE ELEMENT  ACSE ,NS
653,ASSUMPTION,RMG;PLS;LR;CPS;SS;SSL
654,ASSURANCE EVALUATION CRITERIA,OSV
655,ASSURANCE INTERNET PROTOCOL ENCRYPTOR  HAIPE ,C;NS
656,ASSURANCE INTERNET PROTOCOL ENCRYPTOR  HAIPE    WORK FACTOR,C
657,ASSURANCE OF PURPOSE,AC
658,ASSURANCE PROCESS INTEGRATION,RMG
659,ASSURANCE PROCESS INTEGRATION  CONVERGENCE .,RMG
660,ASSURANCE PROCESS INTEGRATION   AS OUTCOME OF SECURITY PROGRAMS,SO
661,ASSURANCE PROCESS INTEGRATION   AS RESULT OF INFORMATION SECURITY GOVERNANCE,RMG
662,ASSURANCE PROCESS INTEGRATION   IN INCIDENT MANAGEMENT,SO
663,ASSURANCE PROCESS INTEGRATION   IN INFORMATION SECURITY GOVERNANCE,RMG
664,ASSURANCE PROGRAM,SSL
665,ASSURANCE PROVIDERS,RMG
666,ASSURANCE REQUIRES EFFECTIVE COMMUNICATION AMONG TECHNOLOGY PARTICIPANTS,SSL
667,ASSURANCE SHALL BE WELL PLANNED AND DYNAMIC,SSL
668,ASYMMETRIC,C
669,ASYMMETRIC  ADVANTAGES AND DISADVANTAGES,C
670,ASYMMETRIC  ALGORITHM,C
671,ASYMMETRIC ALGORITHM,C
672,ASYMMETRIC ALGORITHMS,C
673,ASYMMETRIC CRYPTOGRAPHY,C
674,ASYMMETRIC ENCRYPTION,C
675,ASYMMETRIC ENCRYPTION  PUBLIC KEY CRYPTOGRAPHY ,C
676,ASYMMETRIC KEY,C
677,ASYMMETRIC KEY ENCRYPTION,C
678,ASYMMETRIC MODE MULTIPROCESSING,C
679,ASYNCHONOUS TRANSFER MODE  ATM ,NS
680,ASYNCHRONOUS,DSS;C
681,ASYNCHRONOUS  TOKEN GENERATING METHOD,AAA
682,ASYNCHRONOUS ENCRYPTION,SS
683,ASYNCHRONOUS PASSWORD TOKENS,AAA
684,ASYNCHRONOUS SYSTEM,DSS;NS
685,ASYNCHRONOUS TIME DIVISION MULTIPLEXING  ATDM ,PLS
686,ASYNCHRONOUS TOKENS,AAA
687,ASYNCHRONOUS TRANSFER MODE  ATM ,NS
688,ATA,F
689,ATM MACHINE,AB
690,ATOMIC ACTION,FM
691,ATOMIC CLOCK,PLS
692,ATOMIC COMMITMENT,DSS
693,ATOMIC CONSISTENT ISOLATED AND DURABLE,DSS
694,ATOMIC DECISION,DSS
695,ATOMIC MULTICAST,DSS
696,ATOMIC TRANSACTION,DSS
697,ATOMICITY CONSISTENCY ISOLATION AND DURABILITY  ACID ,OSV
698,ATT &CK KNOWLEDGE BASE,MAT
699,ATTACK,MAT
700,ATTACK ATTRIBUTION,SO
701,ATTACK DETECTION,MAT
702,ATTACK DURATION,SO
703,ATTACK GRAPH,AB;SO
704,ATTACK GRAPHS,AB
705,ATTACK LIBRARY,RMG
706,ATTACK MODEL,SSL
707,ATTACK MODELS,C
708,ATTACK NETS,AB
709,ATTACK PATH,SO
710,ATTACK PATTERN,SO;SSL;F;AAA
711,ATTACK PROVENANCE,MAT
712,ATTACK RESISTANCE ANALYSIS,SSL
713,ATTACK SIGNATURE,MAT
714,ATTACK STRATEGY,AB
715,ATTACK SURFACE,DSS;CPS;SO;SSL;WAM;HS;OSV;AC;NS
716,ATTACK SURFACE MINIMIZATION,OSV
717,ATTACK TARGET,DSS;SSL
718,ATTACK TECHNIQUE,SS
719,ATTACK TREE,RMG;SSL;AB;SO
720,ATTACK TREES,RMG;AB
721,ATTACK TYPES,DSS
722,ATTACK VECTOR,CPS;SSL;AC;F;PLS;WAM;C;INTRO;NS
723,ATTACK S   802.LQ,MAT
724,ATTACK S   ACCESS CONTROL  AC ,AAA
725,ATTACK S    ALGEBRAIC,C
726,ATTACK S    ANALYTIC,C
727,ATTACK S    ARP,MAT
728,ATTACK S    BAITING,AB
729,ATTACK S    BETWEEN THE LINES,SS
730,ATTACK S    BIRTHDAY,C
731,ATTACK S    CHOSEN CIPHERTEXT,C
732,ATTACK S    CHOSEN PLAIN TEXT,C
733,ATTACK S    CIPHERTEXT ONLY,C
734,ATTACK S    CROSS SITE SCRIPTING  XSS ,MAT
735,ATTACK S    CRYPTANALYTIC,C
736,ATTACK S    DICTIONARY,C
737,ATTACK S    DOUBLE ENCAPSULATED 802.LQ NESTED VLAN,MAT
738,ATTACK S    FRAGGLE,MAT
739,ATTACK S    IP FRAGMENTATION,MAT
740,ATTACK S    IP FRAGMENTATION   NFS,MAT
741,ATTACK S    IP FRAGMENTATION   OVERLAPPING FRAGMENT,MAT
742,ATTACK S    IP FRAGMENTATION   SMURF AND FRAGGLE,MAT
743,ATTACK S    KNOWN PLAINTEXT,C
744,ATTACK S    MAC FLOODING,MAT
745,ATTACK S    MAN IN THE MIDDLE  MITM ,C
746,ATTACK S    MULTICAST BRUTE FORCE,MAT
747,ATTACK S    PARKING LOT,AB
748,ATTACK S    PASSIVE,AB
749,ATTACK S    PHISHING,AB
750,ATTACK S    PRETEXTING,AB
751,ATTACK S    PREVENTATIVE MEASURES,MAT
752,ATTACK S    RANDOM FRAME STRESS,MAT
753,ATTACK S    REPLAY,NS
754,ATTACK S    SIDE CHANNEL,SS;C
755,ATTACK S    SMURF,MAT
756,ATTACK S    SOCIAL ENGINEERING,AB
757,ATTACK S    SOURCE CODE MALFORMED INPUT,SS
758,ATTACK S    SPANNING TREE,MAT
759,ATTACK S    STATE,SS
760,ATTACK S    STATISTICAL,C
761,ATTACK S    SURFACE,MAT
762,ATTACK S    SYN FLOODING,MAT
763,ATTACK S    TAGGING,MAT
764,ATTACK S    TAILGATING,AB
765,ATTACK S    TCP SEQUENCE NUMBER,NS
766,ATTACK S    TIME OF CHECK TIME OF USE  TOC TOU ,SS
767,ATTACK S    TREE,MAT
768,ATTACK S    WORMHOLE,MAT
769,ATTACK RESPONSE MECHANISM,CPS
770,ATTACKABILITY IMPLICATIONS,DSS
771,ATTACKER BEHAVIOUR,SSL
772,ATTACKER CAPABILITIES,C;NS;FM;AB
773,ATTACKER ECONOMICS,INTRO
774,ATTACKER MODEL,PLS;FM;OSV;INTRO;NS
775,ATTACKER MODELS,NS
776,ATTACKER MOTIVATION,AC;SSL;AB;SO
777,ATTACKING P2P SYSTEMS,DSS
778,ATTACKS,PLS;HS;CPS;C;POR;SS
779,ATTACKS   ACTIVE,AB
780,ATTACKS   ALGEBRAIC,C
781,ATTACKS   ANALYTIC,C
782,ATTACKS   BIRTHDAY,MAT
783,ATTACKS   CHOSEN CIPHERTEXT,C
784,ATTACKS   CHOSEN PLAINTEXT,C
785,ATTACKS   CIPHERTEXT ONLY,C
786,ATTACKS   CREATE OR IMPORT A CODESIGNING CERTIFICATE,MAT;OSV
787,ATTACKS AGAINS CPSS,CPS
788,ATTACKS ARISING FROM COMPOSITION,AC
789,ATTACKS ARISING FROM SHARED RESOURCES,AC
790,ATTACKS ON,MAT
791,ATTACKS ON DIGITAL ASSISTANTS,CPS
792,ATTACKS ON ETHERNET SWITCHES,NS
793,ATTACKS ON PHYSICAL LAYER IDENTIFICATION,PLS
794,ATTACKS ON QUALITY,CPS
795,ATTACKS SHALL BE EXPECTED,SSL
796,ATTENTION FAILURE,HF
797,ATTENTION MODEL,MAT
798,ATTESTATION,CPS;AAA;SSL;HS;C;OSV;AC;NS
799,ATTRIBUTE BASED ACCESS CONTROL,AAA
800,ATTRIBUTE BASED CREDENTIALS,POR
801,ATTRIBUTE CERTIFICATES,AAA
802,ATTRIBUTE BASED,AAA
803,ATTRIBUTE BASED ACCESS CONTROL,SSL;FM;AAA
804,ATTRIBUTE BASED ACCESS CONTROL  ABAC ,AAA
805,ATTRIBUTE BASED CREDENTIALS,POR
806,ATTRIBUTE BASED ENCRYPTION,AAA
807,ATTRIBUTES   ABAC,AAA
808,ATTRIBUTING ACTION TO A STATE UNDER INTERNATIONAL LAW,LR
809,ATTRIBUTION,LR;AB;SO;CPS;MAT;F
810,ATT{ &,SO
811,AUCTION,LR
812,AUDIO SIGNAL,PLS
813,AUDIT APPROACH,SO
814,AUDIT CHARTER,RMG
815,AUDIT DOCUMENTATION,RMG
816,AUDIT EVIDENCE,SO
817,AUDIT FINDING REMEDIATION,SO
818,AUDIT FINDINGS TRACKING,SO
819,AUDIT HOOKS,SSL
820,AUDIT LOGS,OSV;AAA
821,AUDIT METHODOLOGY,RMG
822,AUDIT OBJECTIVE,SO
823,AUDIT PLANNING,SO
824,AUDIT POLICIES,AAA
825,AUDIT PROGRAM,SO
826,AUDIT REPORT,RMG
827,AUDIT RISK,RMG
828,AUDIT STRATEGY,SO
829,AUDIT TRAIL,RMG;SO;F;AAA
830,AUDIT TRAILS,SO
831,AUDIT TRAILS TECHNICAL CONTROLS,SO
832,AUDIT S    INTERNAL,SO
833,AUDIT S    LOGS,SO;AAA
834,AUDIT S    RECORDS,SO
835,AUDIT S    THIRD PARTY,SO
836,AUDIT BASED TRANSPARENCY,POR
837,AUDITING,AAA
838,AUDITING AND ENFORCEMENT,AAA
839,AUDITING AND SOFTWARE DEVELOPMENT SECURITY,SSL
840,AUDITING CONTROLLED BASELINE,RMG
841,AUDITING PRINCIPLES,RMG
842,AUDITING SPECIFICATIONS,POR
843,AUDITOR   RESPONSIBILITIES,SO
844,AUDITOR   USE OF RISK REMEDIATION PLAN BY,SO
845,AUDITS,RMG;SSL;LR;SO
846,AUDITS   AND INCIDENT MANAGEMENT,SO
847,AUDITS   IN INFORMATION SECURITY STRATEGY,SO
848,AUSTRIAN HOTEL ATTACK,CPS
849,AUTH  AUTHENTICATION MODULE ,OSV
850,AUTHENTICATED CODE,HS
851,AUTHENTICATED ENCRYPTION,AC
852,AUTHENTICATED ENCRYPTION WITH ASSOCIATED DATA,AC;C
853,AUTHENTICATED ENCRYPTION AE SCHEMES,AC
854,AUTHENTICATED KEY EXCHANGE,AC
855,AUTHENTICATED KEY EXCHANGE PROTOCOL,POR
856,AUTHENTICATION,LR;POR;SO;SSL;WAM;C;AC;NS;DSS;FM;CPS;AAA;MAT;HF;PLS;HS;OSV;INTRO
857,AUTHENTICATION  AUTHORIZATION   ACLS,AAA
858,AUTHENTICATION   BIOMETRICS,AAA
859,AUTHENTICATION   BIOMETRICS   BEHAVIORAL,AAA
860,AUTHENTICATION   BIOMETRICS   BIOMETRIC STANDARDS,AAA
861,AUTHENTICATION   BIOMETRICS   IMPLEMENTATION,AAA
862,AUTHENTICATION   BIOMETRICS   PHYSICAL USE,AAA
863,AUTHENTICATION   BIOMETRICS   PHYSIOLOGICAL,AAA
864,AUTHENTICATION   CERTIFICATE BASED,AAA
865,AUTHENTICATION   CHARACTERISTICS,HS
866,AUTHENTICATION   COMPUTER RECOGNITION SOFTWARE,AAA
867,AUTHENTICATION   CONTINUOUS,AAA
868,AUTHENTICATION   DUAL CONTROL,AAA
869,AUTHENTICATION   E MAIL,WAM
870,AUTHENTICATION   HEADER  AH ,AAA
871,AUTHENTICATION   IDENTIFICATION,AAA
872,AUTHENTICATION   IDENTIFICATION   ACCESS LEVEL REVIEW,AAA
873,AUTHENTICATION   IDENTIFICATION   ACCOUNT NUMBER,AAA
874,AUTHENTICATION   IDENTIFICATION   CLEARANCE,AAA
875,AUTHENTICATION   IDENTIFICATION   METHODS,AAA
876,AUTHENTICATION   IDENTIFICATION   PIN,AAA
877,AUTHENTICATION   IDENTIFICATION   USER ID,AAA
878,AUTHENTICATION   IDENTIFICATION   USER REGISTRATION,AAA
879,AUTHENTICATION   KERBEROS,AAA
880,AUTHENTICATION   KNOWLEDGE,AAA
881,AUTHENTICATION   MULTIFACTOR,AAA
882,AUTHENTICATION   OTP  ONE TIME PASSWORD ,AAA
883,AUTHENTICATION   OUT OF BAND VERIFICATION,AAA
884,AUTHENTICATION   OWNERSHIP   PASSWORDS DYNAMIC,AAA
885,AUTHENTICATION   OWNERSHIP   RFID,HS
886,AUTHENTICATION   OWNERSHIP   SMART CARDS,HS;AAA
887,AUTHENTICATION   OWNERSHIP   TOKENS,AAA
888,AUTHENTICATION   PASSWORD BASED,AAA
889,AUTHENTICATION   PASSWORDS STATIC,AAA
890,AUTHENTICATION   PERIODIC,AAA
891,AUTHENTICATION   PERIPHERAL DEVICE RECOGNITION,AAA
892,AUTHENTICATION   PROTOCOL,AAA
893,AUTHENTICATION   REVERSE,AAA
894,AUTHENTICATION   SMARTCARDS,NS
895,AUTHENTICATION   TECHNICAL CONTROLS,AAA
896,AUTHENTICATION   TOKENS,AAA
897,AUTHENTICATION   VULNERABILITIES AND,AAA
898,AUTHENTICATION AND ACCESS CONTROL,AAA
899,AUTHENTICATION AND AUTHORIZATION,AAA
900,AUTHENTICATION AND AUTHORIZATION METHODS,NS
901,AUTHENTICATION AND IDENTIFICATION,OSV
902,AUTHENTICATION AND IDENTITY MANANGEMENT,SSL
903,AUTHENTICATION AND KEY AGREEMENT PROTOCOL,PLS
904,AUTHENTICATION APPROACHES,NS
905,AUTHENTICATION ASSERTION,AAA
906,AUTHENTICATION AUTHORIZATION,AAA
907,AUTHENTICATION AUTHORIZATION   ACCESS CONTROL MATRIX,AAA
908,AUTHENTICATION AUTHORIZATION   DIRECTORIES,AAA
909,AUTHENTICATION AUTHORIZATION   SSO,AAA
910,AUTHENTICATION AUTHORIZATION   SYSTEM ACCESS,AAA
911,AUTHENTICATION CENTRE,AC
912,AUTHENTICATION CEREMONY,AAA
913,AUTHENTICATION FOR CREDIT OR RESPONSIBILITY,AAA
914,AUTHENTICATION HEADER FORMAT,NS
915,AUTHENTICATION HEADERS,NS
916,AUTHENTICATION IN DISTRIBUTED SYSTEMS,AAA
917,AUTHENTICATION OBLIGATION,AAA
918,AUTHENTICATION PROTOCOL,C;FM;LR;AAA
919,AUTHENTICATION PROTOCOLS,PLS;C
920,AUTHENTICATION SERVER,NS
921,AUTHENTICATION TOKEN,AAA
922,AUTHENTICATION TOKENS,AAA
923,AUTHENTICATION VS VERIFIED ASSOCIATION,AAA
924,AUTHENTICITY,LR;POR;AC;F;PLS;OSV;INTRO;NS
925,AUTHENTICITY AUTHENTICATION,AAA
926,AUTHENTICODE,AAA
927,AUTHORISATION,DSS;LR;CPS;SO;AAA;FM;POR;SSL;PLS;WAM;OSV;INTRO;NS
928,AUTHORISATION CONDITIONS,AAA
929,AUTHORISATION GRANT,AAA
930,AUTHORISATION HEADER,WAM
931,AUTHORISATION PROTOCOL,AAA
932,AUTHORISATION SERVER,AAA
933,AUTHORITATIVE DATA SOURCE,F
934,AUTHORITATIVE SERVER DNS,NS
935,AUTHORITY IN INFORMATION RISK MANAGEMENT PROGRAM,RMG
936,AUTHORITY TO OPERATE  ATO ,RMG;SO
937,AUTHORIZATION,AAA
938,AUTHORIZATION   ACCESS CONTROL MATRIX,AAA
939,AUTHORIZATION   ACLS,AAA
940,AUTHORIZATION   DIRECTORIES,AAA
941,AUTHORIZATION   DIT  DIRECTORY INFORMATION TREE ,AAA
942,AUTHORIZATION   LDAP  LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL ,AAA
943,AUTHORIZATION   RDN  RELATIVE DISTINGUISHED NAME ,AAA
944,AUTHORIZATION   SSO  SINGLE SIGN ON ,AAA
945,AUTHORIZATION   SYSTEM ACCESS,AAA
946,AUTHORIZATION   VULNERABILITIES AND,AAA
947,AUTHORIZATION ADVOCATE RESPONSIBILITIES OF,RMG
948,AUTHORIZATION TIMING,SO
949,AUTHORIZED USERS,AAA
950,AUTHORIZING OFFICIALS  AOS ,RMG;SO
951,AUTHORIZING OFFICIALS   RESPONSIBILITIES OF,RMG;SO
952,AUTHORIZING OFFICIALS   ROLE OF IN CONTINUOUS MONITORING,SO
953,AUTHORSHIP,MAT
954,AUTO INSURER,CPS
955,AUTO COMPLETING PASSWORDS,F
956,AUTO SPREADING,MAT
957,AUTO SPREADING MALWARE,MAT
958,AUTO UPDATE,WAM
959,AUTOBIOGRAPHICAL MEMORY,HF
960,AUTOCORRELATION PEAK,PLS
961,AUTOMATA,FM
962,AUTOMATED INDUCTIVE REASONING,FM
963,AUTOMATED POLICY,AAA
964,AUTOMATED SOFTWARE DIVERSITY,SS
965,AUTOMATED TESTING TOOLS,MAT
966,AUTOMATIC DEPENDENT SURVEILLANCE BROADCAST,PLS;CPS
967,AUTOMATIC GAIN CONTROL,PLS
968,AUTOMATIC LOGOUTS,HF
969,AUTOMATIC TASKS,HF
970,AUTOMATIC UPDATES IN APPS,WAM
971,AUTOMATIC UPDATES IN BROWSERS,WAM
972,AUTOMATING SECURITY,HF
973,AUTOMATION,SS;FM;SSL;SO
974,AUTOMOBILE,RMG;SSL;LR;CPS
975,AUTOMOTIVE,CPS;NS
976,AUTOMOTIVE OPEN SYSTEM ARCHITECTURE,NS
977,AUTONOMIC COMPUTING,SO
978,AUTONOMOUS,PLS;WAM;CPS;SSL;NS
979,AUTONOMOUS SYSTEM,NS;SO
980,AUTONOMOUS SYSTEMS,DSS
981,AUTONOMOUS VECHICLES,CPS
982,AUTONOMOUS VEHICLES,LR
983,AUTONOMY,RMG;POR;F
984,AUXILIARY TASK,SS
985,AVAILABILITY,RMG;DSS;LR;AB;POR;SO;AAA;SS;SSL;MAT;F;PLS;WAM;INTRO;NS
986,AVALANCHE EFFECT   ENCRYPTION,C
987,AVIATION,PLS;LR;SO
988,AVIONIC SYSTEM,CPS
989,AVOID OR ELIMINATE,RMG
990,AWARENESS,RMG;LR;CPS;SO;AB;SSL;HF;WAM;INTRO
991,AWARENESS   FOR ACTION PLAN,RMG
992,AWARENESS   IN INFORMATION SECURITY STRATEGY,RMG
993,AWARENESS   MEASUREMENT OF ORGANIZATIONAL,HF
994,AWARENESS   OF INCIDENT MANAGEMENT,HF
995,AWARENESS   OF RISK MANAGEMENT,HF
996,AWARENESS   OF SECURITY PROGRAMS,HF
997,AWARENESS AND EDUCATION,HF
998,AWARENESS CAMPAIGN,WAM;AB
999,AWARENESS METRICS,RMG
1000,AXI BUS,HS
1001,AXIOMATIC SEMANTICS,FM
1002,AXOLOTL,POR
1003,AZURE,DSS
1004,B2B COMMERCE,LR
1005,BACK END,FM;WAM;NS;DSS;SS
1006,BACK OFFICE NETWORK,INTRO
1007,BACK TO BACK LAYOUT,F
1008,BACKDOOR,MAT;POR;AC;CPS
1009,BACKDOOR TROJANS,MAT
1010,BACKGROUND INTELLIGENT TRANSFER SERVICE  BITS ,RMG
1011,BACKSCATTER,NS
1012,BACKUP   CONTROLS,SO
1013,BACKUP   DIFFERENTIAL,SO
1014,BACKUP   ELECTRONIC VAULTING,SO
1015,BACKUP   FULL,SO
1016,BACKUP   INCREMENTAL,SO
1017,BACKUP   OFF SITE STORAGE,SO
1018,BACKUP   STORAGE STRATEGY,SO
1019,BACKUP   SYSTEM DATA AVAILABILITY,SO
1020,BACKUP BROKER,DSS
1021,BACKUP CENTER,SO
1022,BACKUP SYSTEM,RMG;C;MAT;INTRO;F;DSS;AB
1023,BACKUP VERIFICATION DATA,RMG
1024,BACKWARD COMPATIBLE,SSL;NS
1025,BACKWARD SECURITY,AC
1026,BAD DATA DETECTION,CPS
1027,BAGGAGE SCREENING,HF
1028,BALANCED SCORECARD  BSC ,RMG
1029,BALLOT SECRECY,POR
1030,BAN LOGIC,INTRO
1031,BANDWIDTH,SO;NS;F;DSS;AB;WAM;PLS;SSL;POR;AC
1032,BANDWIDTH PROVISIONING,SO;DSS
1033,BANK ACCOUNT,LR;AB
1034,BANK ACCOUNT CREDENTIALS,AB
1035,BANK DEPOSIT,LR
1036,BANK FRAUD,LR
1037,BANK WITHDRAWAL,LR
1038,BANKING SERVICES,SO;DSS;HS;HF;AAA;POR;AC;INTRO
1039,BANKING TRANSACTION,LR
1040,BARE METAL MACHINE,MAT
1041,BARE METAL SYSTEM,MAT;CPS
1042,BARECLOUD,MAT
1043,BAROMETER,CPS
1044,BASE REGISTERS,OSV
1045,BASE STATION,AC;PLS
1046,BASE RATE FALLACY,SO
1047,BASE64,WAM
1048,BASEBAND,PLS
1049,BASEL II REGULATIONS,SO
1050,BASELINE CONTROLS,RMG;SSL
1051,BASELINE SECURITY   DEFINED,SSL
1052,BASELINE SECURITY   IN RISK ASSESSMENT,RMG
1053,BASELINE SECURITY   IN RISK MANAGEMENT,RMG
1054,BASELINE SECURITY CONFIGURATION,SO
1055,BASELINES,RMG;SO
1056,BASIC AUTHENTICATION,AAA
1057,BASIC BLOCKS,MAT
1058,BASIC CONCEPTS,AC
1059,BASIC HTTP AUTHENTICATION,WAM
1060,BASIC SECURITY DEFINITIONS,C
1061,BASTION   HOST,NS
1062,BASTION   OF DEFENSE,NS
1063,BASTION HOST,NS
1064,BASTION HOST  SCREENED HOST,NS
1065,BATCH MODE,FM
1066,BATCHING STRATEGY,POR
1067,BATTERY STATUS,CPS
1068,BATTERY OPERATED OBJECT,SO
1069,BAYES' THEOREM,SO
1070,BAYESIAN ANALYSIS,RMG
1071,BAYESIAN INFERENCE,POR
1072,BCP  BUSINESS CONTINUITY PLAN ,SO
1073,BEACON,AC;PLS
1074,BEAM FORMING,PLS
1075,BEARER TOKENS,AAA
1076,BEAST,NS
1077,BEDROCK PROJECT,FM
1078,BEEP,SO
1079,BEHAVIOR AS ENABLERS,HF
1080,BEHAVIOR BLOCKING,OSV
1081,BEHAVIORAL BIOMETRICS,AAA
1082,BEHAVIOUR CHANGE,RMG;SO;HF
1083,BEHAVIOUR MODEL,SO
1084,BEHAVIOUR TRANSFORMATION PROGRAMME,HF
1085,BEHAVIOURAL AUTHENTICATION,AAA
1086,BEHAVIOURAL DOMAIN,HS
1087,BELL LAPADULA  BLP ,AAA;OSV
1088,BELL LAPADULA MODEL,AAA;OSV;INTRO
1089,BELLIGERENT STATE,LR
1090,BENCHMARKING,INTRO
1091,BENEFITS OF CLASSIFICATION,RMG
1092,BENEFITS OF CONDUCTING A BUSINESS IMPACT ANALYSIS,RMG
1093,BENEFITS OF INDEPENDENT FORENSIC RECONSTRUCTION,F
1094,BENEFITS OF RISK ASSESSMENT,RMG
1095,BENEFITS OF USING RISK SCENARIOS,RMG
1096,BER,SO
1097,BERTIN,SO
1098,BEST FIT,RMG
1099,BEST PRACTICE,HF
1100,BEST PRACTICES,SO
1101,BEST PRACTICES   IPAD IPOD IPHONE,WAM
1102,BEST PRACTICES   MOBILE DEVICE,WAM
1103,BEST PRACTICES MINIMUM SECURITY BASELINE,RMG;SO
1104,BETA TESTING,SSL
1105,BEYONDCORP,NS
1106,BGP  BORDER GATEWAY PROTOCOL ,NS
1107,BGP DENIAL OF SERVICE,NS
1108,BGP FLOWSPEC,NS
1109,BGP HIJACK,SO
1110,BGP HIJACKS,SO
1111,BGP ROUTE HIJACKING,NS
1112,BGPSEC,NS
1113,BI FRAGMENTED FILE,F
1114,BIA  BUSINESS IMPACT ANALYSIS ,SO
1115,BIASED ASSIMILATION,HF
1116,BIASED EVALUATION,HF
1117,BIBA,AAA
1118,BIBA MODEL,FM;AAA;OSV;INTRO
1119,BIBAL MODEL,AAA
1120,BIDIRECTIONAL CONNECTION,WAM
1121,BIG DATA,LR;POR;SO;DSS
1122,BIG DATA SERVICES,DSS
1123,BILLING ADDRESS,AB
1124,BINARY BLOB,WAM
1125,BINARY CODE,SS
1126,BINARY DECISION DIAGRAM,FM
1127,BINARY EMULATOR,MAT
1128,BINARY FORMAT,MAT;SO;PLS
1129,BINARY INSTRUCTION FORMAT,WAM
1130,BINARY REPRESENTATION,WAM
1131,BINDER,AAA
1132,BINDING CORPORATE RULE,LR
1133,BINDING PUBLIC KEYS AND IDENTITIES VIA CERTIFICATES,AC
1134,BIOLOGY,INTRO
1135,BIOMETRIC INFORMATION PRIVACY ACT,LR
1136,BIOMETRIC PASSPORTS,HS
1137,BIOMETRIC READERS,AAA
1138,BIOMETRIC TEMPLATE,AAA
1139,BIOMETRIC VERIFICATION,AAA
1140,BIOMETRICS,OSV;HS;CPS;LR;HF;WAM;PLS;AAA
1141,BIOMETRICS   BEHAVIORAL,AAA
1142,BIOMETRICS   BIOMETRIC STANDARDS,AAA
1143,BIOMETRICS   CROSSOVER ACCURACY,AAA
1144,BIOMETRICS   FAILURE RATES,AAA
1145,BIOMETRICS   FALSE REJECTION ACCEPTANCE,AAA
1146,BIOMETRICS   IMPLEMENTATION,AAA
1147,BIOMETRICS   PHYSICAL USE,AAA
1148,BIOMETRICS   PHYSIOLOGICAL,AAA
